"bf","between 1000 Palms and Palm Springs"
"bf","Between 17 th and 18 th streets Cayucos"
"bf","between 19 th AND 25 th Avenue Entries to Golden Gate Park"
"bf","between 19 th Avenue Crossover AND 25 th Avenue"
"bf","Between 23 AND 27 West Garden Green"
"bf","between 395 AND Vista"
"bf","between 5 AND 6"
"bf","between 8 th and 9 th Ave South side of RR tracks"
"bf","between 80 th AND 81 st Avenue"
"bf","between 96 th AND 106 Streets"
"bf","between Abbott's Lagoon and Elk Reserve"
"bf","between Abbott's Lagoon AND Kehoe Beach"
"bf","BETWEEN ALVISO AND MILPITAS"
"bf","between Atlantic Avenue and Marina Village Dr"
"bf","between Ave A AND B"
"bf","between Ave V AND El Tejon Rd"
"bf","between Ave V AND El Tejon Road"
"bf","between Ballona Creek AND Culver Blvd."
"bf","between Balona Creek and Culver Blvd."
"bf","between Barrett jct. and Barrett Dam"
"e","+800 FEET"
"e","100 fathoms"
"e","100 feet"
"e","100 ft"
"e","1000 ft"
"e","10000 ft"
"e","1025 m"
"e","10600 ft"
"e","1100 FT"
"e","11000 ft"
"e","12.7 mi"
"e","1200 FT"
"e","1200 ft el"
"e","1250 m"
"e","1300 ft"
"e","1350 FT"
"e","1360 ft elevation"
"e","14 mi"
"e","1400 FT"
"e","1400 m"
"f","A Market"
"f","A MOUNTAIN NEAR OJAI VALLEY"
"f","Abalone Cove"
"f","Abalone Point Beach"
"f","Abalone Point."
"f","Abbott's Lagoon"
"f","Aberhill"
"f","ABLADENA"
"f","Abondoned Ranch Site"
"f","Academy"
"f","Acalanes"
"f","Ace Motel"
"f","ACME"
"f","ACTON"
"f","ACTURAS"
"f","Adams"
"f","Adams Canyon"
"f","Adam's Canyon"
"f","Adams Creek"
"f","Adams Pasture"
"f","Adelaida"
"f","Adelante"
"f","Adelanto"
"f","Adelonto"
"f","Adin"
"f","Administration Bldg"
"f","Adobe Canyon"
"f","Adobe Creek"
"f","Adobe Falls"
"f","Adobe Falls near La Mesa"
"f","Adobe Kites"
"f","ADOBE VALLEY"
"f","ADOBE VALLEY RIVER SPRINGS"
"f","Aerie Cave"
"f","AFTON"
"f","Afton Canyon"
"f","Afton Canyon Campground"
"f","Agate Beach"
"f","Ager"
"f","Agnanga"
"f","Agnew"
"f","Agnew Meadows"
"f","Agnews"
"f","Agodones Dunes"
"f","Agoura"
"f","Agoura AND Chesbro Canyon"
"f","AGOURA HILLS"
"f","AGOURA HILLS HIGH SCHOOL"
"f","Agua Caliente"
"f","Agua Caliente Co. Park"
"f","Agua Caliente County Park"
"f","Agua Caliente Hot Spring"
"f","Agua Caliente Hot Springs"
"f","Agua Caliente Hot Springs County Park"
"f","Agua Caliente Hot Springs road"
"f","Agua Caliente Road"
"f","Agua Caliente Spring"
"f","Agua Caliente Springs"
"f","AGUA DULCE"
"f","Agua Dulce Cnyn. cutoff"
"f","Agua Dulce Cyn"
"f","Agua Hedionda"
"f","Agua Hedionda Lagoon"
"f","Agua Hedionda Valley"
"f","Agua Tibia Mt."
"f","Aguanga"
"f","Aguanga Ridge"
"f","Agusa"
"f","Ahaheim"
"f","Ahittier"
"f","Ahmanson Ranch"
"f","Air Base"
"f","Air Force Base"
"f","Airfield NBVC"
"f","Airplane Hill"
"f","Airport"
"f","Airport Hotel"
"f","Airport Way"
"f","Airway Village"
"f","AKERSON MEADOWS"
"f","Al Jake Marsh"
"f","Al Tahoe"
"fo",".1 mi above main fork"
"fo",".1 mi up Trabuco Cyn"
"fo",".2 mi La Vista Hot Springs"
"fo",".25 mi below Roaring River Falls"
"fo",".25 mi from field sta"
"fo",".25 miles above Plant 4"
"fo",".5 mi above Camp Chuchupate"
"fo",".5 mi above Ruth Mine"
"fo",".5 mi below lower San Juan Camp"
"fo",".5 mi From Crystal Cave"
"fo",".5 mi inside entr (NE) of Mockingbird Cyn"
"fo",".75 mi of Feed Pens"
"fo","0.1 mi from Charlton Pump #2"
"fo","0.1 mi from Lake Filmore"
"fo","0.1 mi So Post Office"
"foh",".03 mi E Foothill Blvd"
"foh",".04 mi E Foothill Blvd"
"foh",".04 mi E Hwy 99"
"foh",".05 mi E Escondido Rd"
"foh",".05 mi NE Fwy 14"
"foh",".05 mi W Balboa Blvd"
"foh",".05 mi W Foothill Blvd"
"foh",".05 mi W Hwy 95"
"foh",".1 mi E Scissors Crossing"
"foh",".1 mi E study plot"
"foh",".1 mi N Swanton"
"foh",".1 mi S mon entr 29 Palms"
"foh",".2 mi N Whitewater"
"foh",".2 mi S Fresno Co Line"
"foh",".25 mi E N Palm Springs P O"
"foh",".25 mi E of Meadowlark Ranch"
"foh",".25 mi E of Sweetwater River Bridge"
"foh",".25 mi E Washburn Point"
"foh",".25 mi N above Padua Hills Theatre"
"foh",".25 mi N Cholla Garden"
"foh",".25 mi NW Cottonwood Spring entrance"
"foh",".25 mi S 29 Palms Hwy"
"foh",".25 mi S Glacier Point"
"foo",".2 mi SE 1 mi S from Red Hill turnoff"
"foo",".4 mi W Squaw Tank turnoff 6.8 mi W Pinto Y"
"foo",".5 KM S AND 16.8 KM E OF SHANDON"
"foo",".5 mi N 1 mi W Green River Golf Course"
"foo",".7 mi E and 1.4 mi S Button Willow"
"foo",".8 KM N AND 18.1 KM E OF SHANDON"
"foo",".9 mi SE 2.3 mi W Anaheim St PO"
"foo","0.2 mi S 3.2 mi W Valley Wells"
"foo","0.25 mi W AND 0.25 mi N Searsville"
"foo","0.3 MI N 2.3 MI W BREWER LAKE"
"foo","0.3 MI N 2.3 MI W OF BREWER LAKE"
"foo","0.3 mi N 3.7 mi W Lodgepole P O"
"foo","0.3 mi S 1.9 mi E of Summit Cucamonga Pk"
"foo","0.4 miles West and 0.2 miles South Carmel Post Office on Senic Street"
"foo","0.5 mi N  1 mi W Skaggs Springs"
"foo","0.5 mi N 0.25 mi E Conner"
"foo","0.5 mi N 0.5 mi E Conner"
"foo","0.5 mi N 2 mi E Desert Center"
"foo","0.5 mi S 0.75 mi E Big Pines Station"
"foo","0.5 mi S 3.0 mi W Bryan"
"foo","0.5 mi S 3.0 mi W Byron"
"foo","0.5 mi S 4 mi W Yorkville"
"foo","0.5 miles S  0.4 miles W of Artesia"
"foo","0.6 mi E 3.0 mi N Pearblossom"
"foo","0.6 mi S 0.4 mi W Lodgepole P O"
"foo","0.6 mi S 0.8 mi E of Summit Cucamonga Pk"
"fs","Alameda Creek Headwaters"
"fs","ALAMO R MOUTH"
"fs","Alamo River mouth"
"fs","Aliso Creek mouth"
"fs","Beach N of Little River mouth"
"fs","Big Creek Headwaters"
"fs","BIG SANTA ANITA CYN MOUTH"
"fs","BOUQUET CANYON MOUTH"
"fs","Burton Creek mouth"
"fs","center of S half of Sec 27 T 4 N"
"fs","center of town."
"fs","central part of Santa Rosa Island"
"fs","central San Bernardino Co"
"fs","Western Part Of Imperial County."
"fs","Cottonwood Canyon mouth"
"fs","Creek mouth"
"fs","E arm Warner Valley"
"j","confluence of Bear Creek and Merced River along tributaries of Bear Creek"
"j","Confluence of Oil AND Horse Canyons"
"j","confluence of Pit River AND Rock Creek off Pit River Rd"
"j","Confluence of San Benito River and Pajaro River"
"j","Confluence of San Francisquito Canyon AND Santa Clara Wash"
"j","Intersection Benton Crossing Road and Pit Road"
"j","Intersection Berdo Canyon AND Dillon Road"
"j","Intersection Cal 78 AND Borrego Road Springs"
"j","INTERSECTION CALIF 198 AND SOUTH FORK DRIVE"
"j","intersection Edinger AND Hwy 39"
"j","Intersection I-10 AND Chuckwalla Rd"
"j","Intersection Imperial Hwy and Normondie Ave."
"j","intersection Kentwood AND McCool"
"j","Intersection of Hilltop Dr. AND Research Dr"
"j","intersection of Market St and I-15"
"j","intersection of Paseo del Mar and Gaffey St"
"j","Intersection of Powell AND Admiral Sts"
"j","Intersection of Reche Canyon Road and Bardon Road"
"j","intersection of Standard Rd. and Golden State Hwy"
"j","Intersection of State Routes #1 and #68"
"j","Intersection of Valley Vista and Oak Grove"
"j","intersection of Vermont and Sepulveda in Lomita"
"j","intersection of Westlake Blvd and Potrero Cyn Rd."
"j","jct 42 nd St and Pear Blossom Hwy"
"j","jct 8 th and Santee"
"j","jct 99 AND 111"
"j","jct CA #49 and #120"
"j","jct CA Rts 33 AND 166"
"j","jct Cal #49 and 120"
"j","jct Cal 14 AND Escondido Canyon Rd"
"jh","N from jct of I-10 and Whitewater Canyon Rd"
"jh","N. jct. of Delphy and Old Surf Rds."
"jh","NNW Junction Hwy 101 and Hwy 246"
"jh","S Jct Hwy 39 AND Imperial Blvd"
"jh","S of intersection of Chester and Green Streets"
"jh","S. D. River @ jct. of Rancho Mission and San Diego Mission Rds."
"jh","SE jct Brookhurst and Hamilton St"
"jh","W jct Arburua AND Langdon Rds"
"jh","W jct of Hwy 163 and Miramar rd"
"jh","W of jct of Hwy 52 and I-805"
"jo",".1 mi from Railroad Cyn Rd on Cotton- wood Cyn Rd"
"jo",".3 mi up Ladd Canyon Rd from Silverado Canyon Rd"
"jo","0.1 mi from Railroad Cyn Rd on Cottonwood Cyn Rd"
"jo","0.5 mi from Hwy 10 on Dillon Rd"
"jo","0.5 mi from I-10 on Dillon Rd"
"jo","0.5 mi up Harding Cy From Modjeska"
"jo","0.5 mi up Harding Cyn from Modjeska"
"jo","0.5 mi up La Contenta Rd (S) from 29 Palms Hwy"
"jo","0.5 miles up Harding Canyon from Modjeska"
"jo","0.6 mi from Mecca on Hwy 195"
"jo","0.8 mi from Arguello Rd on Santa Ynez Ridge Rd"
"jo","0.9 mi from Arguello Rd on Santa Ynez Ridge Rd"
"jo","1 mi from US 99 on White water Canyon Rd"
"jo","1 mi on Split Mtn Rd from junct With Hwy 78"
"jo","1 mi on Utah Trail from Joe Davis Dr"
"jo","1 mi up Black Star Rd from Santiago Rd"
"jo","1 mi up Falls Canyon on Trabuco Canyon"
"jo","1 mi up from Holy Jim Canyon Road from Trabuco Canyon Rd"
"jo","1 mi up Harding Cyn from Santiago Rd"
"jo","1 mile up Harding Canyon from Santiago Road"
"jo","1.1 mi on State Hwy 71 from US Hwy 91"
"jo","1.2 mi from jct Painter AND Beverly on Beverly"
"jo","1.2 mi from Pacific Ocean on Jefferson Blvd"
"jo","1.3 mi from Arguello Rd on Santa Ynez Ridge Rd"
"jo","1.4 mi from Arguello Rd on Santa Ynez Ridge Rd"
"jo","1.5 mi from Arguello Rd on Santa Ynez Ridge Rd"
"jo","1.5 mi from Borrego Springs on Hwy S-3 going toward Julian"
"jo","1.5 mi from Frwy on Whitewater Canyon Rd"
"jo","1.5 mi from Idyllwild on foot trail"
"jo","1.5 mi from Mt Top jct On Big Pines Rd"
"joh",".05 mi E Reed Ave AND Lone Butte Rd"
"joh",".2 mi N of jct of Montezuma Road and S-2"
"joh",".2 mi S of jct Cross and El Rancho Rds"
"joh",".25 mi E jct PV Dr South and Via Lucado"
"joh",".25 mi E of jct of Walnut and Home Drives"
"joh",".25 mi n of jct with Sharp Park Rd and Skyline Dr"
"joh",".25 mi NW intersect Abbot Rd and Hwy 6"
"joh",".25 mi S of jct of 78 and S-2"
"joh",".5 mi E Long Bch Frwy AND Del Amo Blvd"
"joh",".5 mi E Long Beach Frwy AND Del Amo Blvd"
"joh",".5 mi E Oak Valley Rd and Mussey Grade"
"joh",".5 mi E of Arguello and La Salle Canyon Rds"
"joh",".5 mi N jct Mohawk Rd AND 29 Palms Hwy"
"joh",".5 mi N of San Felipe Wash and Blowout Sand Canyon Rd"
"joh",".5 mi SW Indian Trail and Mirage Rd Cathedral City"
"joh",".5 miles East Palmdale Ave and 395"
"joh",".6 mi N Scissors Crossing (5-2 AND hwy 78 jct)"
"joh",".6 mi SE junction of Hwy 101 and Palomar Rd"
"joh",".7 mi N limits Gualala and Calif 1"
"joh",".7 mi NW jct Hwy 128 and Flynn Creek Rd"
"joh",".75 mi NW of jct of Hwy 299 and Guintoli Lane"
"joh","~ 1.5 km S Old Creek and up to 100 m above mouth"
"joh","0.1 mi NW jct S-2 and 78"
"joh","0.1 mi SE jct Jeep Trail AND gravel rd near NE boundary of camp"
"joh","0.1 mi W jct Jeep Trail AND rd to Boundary Springs"
"joh","0.2 mi SE jct Sunset Blvd And Veteran Ave"
"joh","0.2 mi SW jct Cal Hwy 33 AND 166"
"joh","0.2 mi W of junct of Hwy 78 AND Hwy 115"
"joh","0.25 mi S intersect Pacific Coast Hwy And Bellflower Blvd"
"joh","0.25 mi S intersection I-199 AND French Hill Rd"
"joo","0.3 mi W AND 0.2 mi S jct Calif Rts 33 AND 166"
"joo","0.4 mi W 4.0 mi N jct Cal 71 AND R 3"
"joo","0.4 mi W AND 4.0 mi N from jct of Cal 71 and R 3"
"joo","0.5 mi N 1 mi E jct Beverly and Painter"
"joo","0.7 miles South 0.2 miles West of Junction NV 164 and road to Cima"
"joo","1 mi N 1/2 mi E jct Waterman Cyn Rd AND Hwy"
"joo","1 mi N 2 mi N jct Capr Ave AND Sunset Blvd"
"joo","1 mi S 1 mi W jct Hwy 10 and Hwy 111"
"joo","1 mi S AND 1 mi W jct Int 10 and Hwy 111"
"joo","1 mi W 2 mi N jct Capri Ave AND Sunset Blvd"
"joo","1 mile South 1 mile West of junction Yermo Cutoff road and CA 58"
"joo","1 mile W 1 mile N junction Capri Ave and Sunset Blvd"
"joo","2 miles South 1 miles West of junction Yermo Cutoff road and CA 58"
"joo","2.7 mi S  0.9 mi W jct Cal Hwy 33 AND 166."
"joo","2.8 mi S AND 0.5 mi W jct CA Rts 33 AND 166"
"joo","2.8 mi S AND 0.6 mi W jct CA Rts 33 AND 166"
"joo","2.8 mi S AND 0.7 mi W jct CA Rts 33 AND 166"
"joo","2.8 mi S AND 0.8 mi W jct CA Rts 33 AND 166"
"joo","2.8 mi S AND 1.1 mi W jct CA Rts 33 AND 166"
"joo","3 mi N 2 mi E jct 195 AND Coachella"
"joo","3 mi N 2 mi E of jct Hwy 195 AND Coachella Canal along Hwy 195"
"joo","3 mi S 2.6 mi E Junction 6 AND Angeles Forest Hwy"
"joo","4.7 mi S and 0.3 mi W Jct CA Hwys 33 and 166"
"joo","5 mi E 3 mi S jct Chautagua Ave AND Sunset Blvd"
"joo","5 mi E 3 mi W Junction Chatauqua Ave AND Sunset Ave"
"joo","8 mi S .5 mi W jct Old Woman Spring Rd and Barstow Rd"
"jpoh",".2 mi N jct Hwy 60 and Dillon Rd on Dillon Rd"
"jpoh",".8 mi S on jct Cal 39 AND rd to E fork San Gab River on Cal 39"
"jpoh","0.1 mi N on 29 Palms Hwy from 29 Palms Hwy AND Interst 10 jct"
"jpoh","0.7 mi NE Jct Hwy 299 and US 101 on 299 near Arcatum"
"jpoh","0.7 MI NW JCT HWY 128 AND FLYNN CREEK ROAD ON NAVARRO RIDGE ROAD"
"jpoh","1 mi E intersect Broadway and Esperanza (on latter)"
"jpoh","1 mi E intersect Broadway AND Esperanza on the latter"
"jpoh","1 mi E Intersection Broadway and Esperanza on the Latter"
"jpoh","1 mi E jct 78 and S-2 on 78"
"jpoh","1 mi E Jct 79 AND 80 on 80 (Fire Access Rd)."
"jpoh","1 mi E junction 79 and 80 along 80"
"jpoh","1 mi e of Hwy Jct 79 and 80 (along Hwy 80)"
"jpoh","1 mi E of Junction Hwy 79 and 80 along Hwy 80"
"jpoh","1 mi w jct Dillon Rd and Hwy 60-70 on Hwy 60-70"
"jpoh","1 mi W junct Cal Hwy 78 AND SD Co 52 on 78"
"jpoh","1 mile E of Jct 79 and 80 along 80"
"jpoh","1 mile N jct Cal 39 and rd to Crystal Lake on Cal 39"
"jpoh","1.1 mi S jct Borrego Valley Rd and Palm Canyon Dr on former"
"jpoh","1.2 mi N jct Cal 39 AND rd to E fork San Gab Riv On Cal 39"
"jpoh","1.3 mi N jct Cal 34 AND rd to Crystal lake on Cal 39"
"jpoh","1.3 mi N jct Cal 39 AND Crystal Lake Rd on Cal 39"
"jpoh","1.3 mi N jct Cal 39 AND rd to Crystal Lake on Cal 39"
"jpoh","1.3 miles N jct Cal 39 and rd to Crystal Lake on Cal 39"
"jpoh","1.5 mi N jct Cal 39 AND rd to Crystal Lake on Cal 39"
"jpoh","1.5 mi SW Morongo Valley AND just S of rd on 29 Palms Hwy"
"jpoh","1.5 mi W jct Cal 2 and Cal 39 on Cal 2"
"jpoh","1.5 mi W jct Cal 39 AND rd to Crystal Lake on Cal 39"
"jpoh","1.5 miles N jct Cal 39 and rd to Crystal Lake on Cal 39"
"jpoh","1.5 miles West Jct Cal 39 and Cal 2 on Cal 2"
"jpoh","1.6 miles South jct La Contenta Rd and Bailey Rd on La Contenta Rd"
"nf","above a marsh"
"nf","above a pond"
"nf","above Arroya Seco Park"
"nf","above Arroyo Honda"
"nf","above Azusa"
"nf","Above Beach"
"nf","above Borrego Springs"
"nf","above Chatsworth"
"nf","above Cibbets Flat"
"nf","ABOVE COLDBROOK CAMP"
"nf","Above Conway Summit"
"nf","Above Cuyama Valley"
"nf","Above Cuyler's Harbor"
"nf","above Defeield near Hy. Ludke place"
"nf","Above Duck Lake"
"nf","above Falls"
"nf","above Gas Co Cooling Plant"
"nf","above girl scout's camp"
"nf","above Glen Park"
"nf","above Green V(alley)"
"nf","above Guard Station"
"nf","above Idyllwild"
"nf","above Jawbone Well"
"nf","above Lake Elsinore"
"nf","Above Leavitt Meadows"
"nf","above lower dam"
"nf","above Lucerne"
"nf","above Maturango Spring"
"nf","above Mesa Grande hills"
"nf","above Mill A Quarry"
"nf","A-Dcan area"
"nf","Admiral Wm. H. Standley State Recreation Area"
"nf","Algodones Dunes Recreation Area"
"nf","along Dillon Rd area"
"nf","Alta Sierra area"
"nf","AMBOY VICINITY"
"nf","Anacapa housing area"
"nf","Ano Nuevo Point area"
"nf","Ano Nuevo Pt. area"
"nf","Anxa-Borrago Area"
"nf","Anza Borrego Area"
"nf","Apple Valley Area"
"nf","Arcatz Area"
"nf","area 40 th St and Waterman"
"nf","area Ham's and Cook's Stns"
"nf","area N of Penmer Park"
"nf","area near 3669 Belle st"
"nf","area nr 5791 Pershing"
"nf","area of C cans"
"nf","area plot A-2"
"nf","area plot A-22"
"nf","area plot A-25"
"nf","area plot B-2"
"nf","area plot B-4"
"nf","area plot D-15"
"nf","area plot D-16"
"nf","area plot D-7"
"nf","area tank farm Hibbard No.6"
"nf","Baldwin Hills Area"
"nf","Banner Mine area"
"nf","Barstow Area"
"nf","Barton flats area"
"nf","Bear Canyon wild area"
"nf","Bear Cr. Wilderness Area"
"nf","Behind Harrison trash area"
"nf","Below Alta Sierra"
"nf","below BART tracks"
"nf","below Bernardo"
"nf","below Big Dalton Dam near"
"nf","below Big Spring"
"nf","below Borrego Spring"
"nf","below bridge"
"nf","below Bunkhouse."
"nf","below C. Canyon series"
"nf","below California Route 18 bridge on edge of town"
"nf","Below Camp St Francis"
"nf","below campground"
"nf","below Casitas Dam"
"nf","below Couch Meadow"
"nf","below cpgrd."
"nf","below Debris Dam"
"nf","below E Wall of Library Bldg"
"nf","Below El Nido Post Office"
"nf","below Euclid Ave."
"nf","Below fish hatchery in Whitewater Canyon"
"nf","below fishery"
"nf","below Fort Funston"
"nf","below game refuge"
"nf","below Glass between Biology Bldgs"
"nf","below Hayward"
"nf","below Highway 1 bridge"
"nf","below Hodges Dam"
"nf","below Lake Hodges"
"nf","below Lake Isabella Dam"
"nf","below Magalia dam"
"nf","below Magulia Dam"
"nf","below McCoy"
"nf","below Menlo Park"
"nf","below Monitor Pass"
"nf","Below Mono Debris Basin"
"nf","below Narrows"
"nf","below NE Wall of Library Bldg"
"nf","below Otay Dam"
"nf","below Owen's Lake"
"nf","below Palmetto turn-off"
"nf","Below Pine Creek Pass"
"nf","below pumping station"
"nf","below radar dish"
"nf","below Raven's Cliff"
"nf","below River Rd."
"nf","BELOW RT 18 BRIDGE ON EDGE OF TOWN"
"nf","Below sea level"
"nf","Below the Narrows"
"nf","Below Town"
"nf","below Vallecito"
"nf","below Vallecitos"
"nf","below Valyermo"
"nf","below Window"
"nf","below Wolverton Boy Scout Camp"
"nf","Benlomond area"
"nf","Big Pine area"
"nf","Big Pine vicinity"
"nf","Big Pines Area"
"nf","Big Pines Rec. Area"
"nf","Big Pines Recreation Area"
"nf","Big Sur Wilderness Area"
"nf","Big Tree area"
"nf","Black Moutain area"
"nf","Black Mtn area"
"nf","Bonsall area"
"nf","Borrego- Anza State Park Area"
"nf","Borrego Area"
"nf","Borrego Springs area"
"nf","Borrego-anza State Park Area"
"nf","Boulder Creek area"
"nf","Bowrero area"
"nf","Bravo 3 area"
"nf","Bristle Cone Pine area"
"nf","Bristlecone Pine Area"
"nf","Brownie Creek Training Area"
"nf","Buck Horn Springs Area"
"nf","Bull Creek area"
"nf","Butt Sink Wildlife Management Area"
"nf","Butte Valley Wildlife Area"
"nf","Buttermilk area"
"nf","C can area"
"nf","Campground Area"
"nf","camping-picnic area"
"nf","Campo Vicinity"
"nf","campsite area"
"nf","Carrizo Plain Natural Area"
"nf","Carrizo Plains Natural Area"
"nf","Central Park Area"
"nf","Cherry Hill area"
"nf","Chidago Flats Area"
"nf","Chino Cyn area"
"nf","Christianitas Area"
"nf","Clairemont area"
"nf","Claremont or vicinity"
"nf","Cloves area"
"nf","Covington Flats Acre can trap area"
"nf","Covington Flats Area"
"nf","Covington Flats Campground area"
"nf","Covington Flats Plot area"
"nf","Crescent City Area"
"nf","Crystal Lake area"
"nf","Crystal Lake Recreation Area"
"nf","cutoff to Big Pines area"
"nf","dam area"
"nf","Davis area"
"nf","DAWN MEADOW AREA"
"nf","Dayhe Hot springs area"
"nf","Deep Springs Lake Area"
"nf","Del Mar Area"
"nf","Del Rosa Area"
"nf","DESERT CENTRE VICINITY"
"nf","Devil's Can.-Bear Can. Wild Area"
"nf","Devil's Canyon - Bear Canyon Wild Area"
"nf","Devils Cyn -- Bear Cyn Wild Area"
"nf","Devils Cyn -Bear Cyn Wild Area"
"nf","Devil's Punchbowl Area"
"nf","Diamond Heights Area"
"nf","Diamond Heights vicinity"
"nf","Dillon rd area"
"nf","diluent tanks area"
"nf","Dove Springs Area"
"nf","DOWN MEADOW AREA"
"nf","Eureka area"
